gene	corr	pvalue	gene_mod	pc_mod
ENSG00000101958.13	0.760815392561179	4.54859246670529e-35	7	19
ENSG00000177192.13	0.760838863515151	4.51444559473149e-35	8	9
ENSG00000082458.11	0.760863416359648	4.47899488028102e-35	1	9
ENSG00000232931.5	0.760929823267676	4.38448063644174e-35	14	16
ENSG00000160299.16	0.760940762663907	4.36910059687391e-35	1	8
ENSG00000108352.11	0.760983128746192	4.31003648178704e-35	8	14
ENSG00000125510.15	0.761025132125342	4.25225441989895e-35	7	9
ENSG00000127152.17	0.761072558929127	4.18792820741769e-35	1	8
ENSG00000187323.11	0.761087102691994	4.16839480373384e-35	1	15
ENSG00000060237.16	0.76111467896757	4.13160373745846e-35	4	9
ENSG00000198910.12	0.761122601069885	4.12109366881085e-35	7	8
ENSG00000112232.8	0.761219014028922	3.9952755941455e-35	1	15
ENSG00000181754.6	0.761275337729477	3.92353210160528e-35	15	7
ENSG00000169169.14	0.761307325965018	3.88335285373199e-35	8	12
ENSG00000159335.15	0.761320888344576	3.86644021187328e-35	1	9
ENSG00000104765.15	0.761398062769879	3.77157337865665e-35	9	12
ENSG00000072110.13	0.761422903173914	3.74152871558394e-35	1	8
ENSG00000139200.13	0.76144512690584	3.71484877040531e-35	1	7
ENSG00000100095.18	0.761448397226186	3.71093854432524e-35	11	19
ENSG00000166848.5	0.761504264602347	3.64476219469296e-35	7	19
ENSG00000168522.12	0.761548566067683	3.59311331534223e-35	9	1
ENSG00000164938.13	0.761575818498535	3.56169982583713e-35	18	7
ENSG00000121775.17	0.761661969555822	3.46416294979632e-35	8	9
ENSG00000112851.14	0.761671857000334	3.4531384378643e-35	9	4
ENSG00000102158.19	0.761707444453571	3.41374360486629e-35	9	8
ENSG00000162951.10	0.76187967580862	3.22925309659463e-35	1	9
ENSG00000176155.18	0.761882451681462	3.22636152789289e-35	14	12
ENSG00000169756.16	0.761921186281202	3.1862775382575e-35	9	8
ENSG00000150995.18	0.762044967315503	3.06144369579388e-35	1	15
ENSG00000108947.4	0.762092058633013	3.01522739164598e-35	1	9
ENSG00000152137.6	0.762109295773313	2.99848288411984e-35	9	6
ENSG00000272541.1	0.762156959149138	2.95265692730989e-35	8	14
ENSG00000102699.5	0.76221871832519	2.89430309554012e-35	9	7
ENSG00000141380.13	0.76226838862459	2.84819684571626e-35	9	1
ENSG00000097021.19	0.762288600890052	2.8296426274563e-35	7	26
ENSG00000122824.10	0.762336219479081	2.78639951280068e-35	7	19
ENSG00000278727.1	0.762388737650144	2.7394614768291e-35	1	15
ENSG00000125510.15	0.762484226287528	2.65610518074752e-35	7	8
ENSG00000152495.10	0.762495287704333	2.64661210350278e-35	1	15
ENSG00000148541.12	0.762506333653478	2.63716564475406e-35	9	4
ENSG00000021300.13	0.762539793841089	2.6087527673033e-35	9	4
ENSG00000183317.16	0.762540752039354	2.6079435645659e-35	8	1
ENSG00000048392.11	0.76270572551922	2.47224515085219e-35	9	8
ENSG00000118402.5	0.76271073741496	2.46823337082833e-35	7	18
ENSG00000178171.10	0.762801071232404	2.39701489660897e-35	7	9
ENSG00000112186.11	0.762805186548233	2.39381906608136e-35	7	1
ENSG00000170579.16	0.762884619670372	2.33294938742075e-35	1	7
ENSG00000142686.7	0.762890121349042	2.3287903462816e-35	15	18
ENSG00000130643.8	0.76290564208064	2.31709663052164e-35	8	9
ENSG00000099326.8	0.762916844489018	2.30869239892077e-35	14	12
ENSG00000138944.7	0.763162210343635	2.13196325096071e-35	19	11
ENSG00000196876.15	0.763169193171345	2.12713382257692e-35	1	7
ENSG00000119471.14	0.763182892716559	2.11769029234302e-35	2	9
ENSG00000077235.17	0.763346163168304	2.00827194075162e-35	14	8
ENSG00000184307.14	0.763375293423609	1.98934380822151e-35	1	8
ENSG00000100023.18	0.763506533952257	1.90622284387121e-35	14	12
ENSG00000187189.10	0.763607723199404	1.84447878471203e-35	7	15
ENSG00000277938.1	0.763634166487408	1.82867081680453e-35	8	1
ENSG00000173898.11	0.763661230463148	1.81262996253957e-35	1	8
ENSG00000081760.16	0.763671923638643	1.80633036496913e-35	7	9
ENSG00000132872.11	0.763750472223091	1.76071180454795e-35	7	18
ENSG00000167702.11	0.763818041262219	1.72237898838937e-35	8	9
ENSG00000181035.13	0.763850909174582	1.70403089278743e-35	8	9
ENSG00000120899.17	0.763920163906707	1.66599810248478e-35	1	9
ENSG00000163995.19	0.76398580826279	1.6307203178256e-35	1	8
ENSG00000015676.17	0.764033960282577	1.6053117921379e-35	1	15
ENSG00000197622.12	0.764084123786459	1.57925652122919e-35	6	1
ENSG00000169169.14	0.764089938924556	1.57626316855556e-35	8	9
ENSG00000105143.12	0.764109821074268	1.56607094537872e-35	1	18
ENSG00000047849.21	0.764118875769297	1.56145075644568e-35	4	18
ENSG00000063015.19	0.764136958114694	1.55226431164524e-35	1	9
ENSG00000067560.10	0.764187656138197	1.52679086380509e-35	9	18
ENSG00000074317.10	0.764230326688185	1.50567027025319e-35	19	26
