gene	corr	pvalue	gene_mod	pc_mod
ENSG00000166444.18	0.775409460472075	2.85826681977475e-20	4	12
ENSG00000169515.5	0.775442189231051	2.84128121686601e-20	4	13
ENSG00000128203.6	0.775459341085765	2.83241894556872e-20	1	6
ENSG00000073670.13	0.775492450555577	2.81538737544268e-20	1	13
ENSG00000173064.12	0.775509937213661	2.8064324125936e-20	1	13
ENSG00000225783.6	0.775579055677818	2.77130682645893e-20	1	6
ENSG00000125871.13	0.775595927646226	2.7627976850344e-20	6	1
ENSG00000203618.5	0.775606055549799	2.75770201934942e-20	1	6
ENSG00000108381.10	0.77566087552876	2.73027848713106e-20	3	10
ENSG00000103495.13	0.775750825264219	2.68585459044236e-20	1	6
ENSG00000100284.20	0.775759209031459	2.68175003059655e-20	1	10
ENSG00000099624.7	0.775808480231613	2.65775053154437e-20	1	6
ENSG00000091157.13	0.7758185156421	2.65288803491039e-20	1	13
ENSG00000164251.4	0.775820309682222	2.65201967305228e-20	4	13
ENSG00000186310.9	0.775838950739008	2.64301324972085e-20	1	6
ENSG00000101463.5	0.775848552686927	2.6383856761582e-20	3	14
ENSG00000139323.13	0.775950791913866	2.58959810056662e-20	10	6
ENSG00000100299.17	0.776009529981438	2.56196659483059e-20	3	8
ENSG00000100138.13	0.776043660963155	2.54604257440341e-20	1	6
ENSG00000173327.7	0.776109181920777	2.51574249139615e-20	3	14
ENSG00000060762.18	0.776125564416559	2.50822136525916e-20	6	1
ENSG00000068400.13	0.776165486726022	2.48998461474155e-20	1	13
ENSG00000118733.16	0.776231826211645	2.45996494219814e-20	1	6
ENSG00000125755.18	0.776240283959386	2.45616304934372e-20	8	11
ENSG00000148985.19	0.776242446846973	2.45519171403011e-20	3	8
ENSG00000187066.8	0.776297993723119	2.43037357523983e-20	3	8
ENSG00000065809.13	0.776332202422765	2.41521074772433e-20	10	3
ENSG00000108387.14	0.776332911580336	2.41489739205666e-20	3	10
ENSG00000198825.12	0.776418667819198	2.37729411543214e-20	1	13
ENSG00000144224.16	0.776423946327118	2.37499822647685e-20	6	1
ENSG00000048544.5	0.776444448362024	2.36610128014925e-20	1	8
ENSG00000132975.7	0.776482214382201	2.34979726360676e-20	1	6
ENSG00000157191.19	0.776489713678105	2.34657275112386e-20	6	13
ENSG00000132122.11	0.776521823037933	2.33281507395504e-20	3	1
ENSG00000124702.17	0.776540905917156	2.32467593472385e-20	1	10
ENSG00000119471.14	0.776546162303481	2.32243885794875e-20	4	13
ENSG00000144224.16	0.776546685921174	2.32221612498871e-20	6	10
ENSG00000122490.18	0.776616909814155	2.29253209460573e-20	1	10
ENSG00000188554.13	0.776626786591589	2.28838681906822e-20	6	1
ENSG00000014216.15	0.776631987394586	2.28620697491599e-20	1	14
ENSG00000132846.5	0.776635170573201	2.28487378561662e-20	3	1
ENSG00000147465.11	0.77664916802534	2.27902028751269e-20	1	6
ENSG00000172782.11	0.776700158025077	2.2578201184586e-20	1	6
ENSG00000011295.15	0.776735601019873	2.24319698803541e-20	1	14
ENSG00000175416.12	0.776808687238235	2.21333296975199e-20	1	10
ENSG00000079482.12	0.776880790616774	2.18424935303498e-20	4	12
ENSG00000155111.14	0.77694678134043	2.15795708700447e-20	3	14
ENSG00000148331.11	0.776963204982357	2.1514614732304e-20	1	14
ENSG00000176973.7	0.777041949525375	2.12058074366097e-20	1	6
ENSG00000100304.12	0.777133705772358	2.08514053830727e-20	1	6
ENSG00000164885.12	0.777172544984246	2.07031317502039e-20	1	13
