"y","z[0]","z[1]","z[2]","z[3]","z[4]","z[5]","z[6]","z[7]","z[8]","z[9]","z[10]","z[11]","z[12]","z[13]","z[14]","z[15]","z[16]","z[17]","z[18]","z[19]","z[20]","z[21]","z[22]","z[23]","z[24]","z[25]","z[26]","z[27]","z[28]","z[29]","z[30]","z[31]","z[32]","z[33]","z[34]","z[35]","z[36]","z[37]","z[38]","z[39]","z[40]","z[41]","z[42]","z[43]","z[44]","z[45]","z[46]","z[47]","z[48]","z[49]","z[50]","z[51]","z[52]","z[53]"
"BMPR1B","0.04454976303317535","0.03601895734597156","0.06919431279620852","0.5834123222748814","0.1606635071090047","0.16398104265402844","0.023696682464454975","0.4549763033175355","0.4815165876777251","0.5895734597156398","0.21895734597156397","0.3819905213270142","0.43886255924170614","0.41800947867298577","0.23886255924170616","0.25213270142180094","0.5616113744075829","0.4075829383886255","0.14123222748815165","0.22843601895734597","0.02843601895734597","0.07061611374407582","0.000947867298578199","0.05971563981042654","0.10189573459715638","0.07867298578199051","0.04597156398104265","0.41516587677725114","0.011374407582938388","0.4853080568720379","0.14407582938388624","0.018957345971563982","0.021800947867298578","0.11848341232227487","0.24123222748815162","0.015165876777251184","0.06777251184834122","0.07962085308056871","0.04170616113744076","1.0","0.45260663507109006","0.02843601895734597","0.13649289099526066","0.676777251184834","0.031279620853080566","0.04075829383886256","0.006635071090047393","0.04454976303317535","0.13459715639810424","0.19620853080568718","0.054028436018957335","0.0777251184834123","0.02748815165876777","0.0"
"NTRK2","0.2718689036285603","0.08099882949668358","0.00593055013655872","0.046820132657042525","0.2315645727662895","0.40312134217713613","0.026765509168942644","0.925868123293016","1.0","0.9223566133437378","0.23058915333593444","0.22122512680452594","0.9231369488880218","0.9184549356223176","0.4858369098712446","0.4968396410456496","0.8314475224346468","0.7395239953179866","0.1594225516972298","0.4395630120952009","0.1681623097932111","0.00031213421771361687","0.018767069840031216","0.07101053452984783","0.04194303550526726","0.019352321498244243","0.01502145922746781","0.023253999219664454","0.026609442060085836","0.01888412017167382","0.05095591104174795","0.05813499804916114","0.006710885680842762","0.019352321498244243","0.09219664455715958","0.0020288724151385096","0.019235271166601637","0.06753804135778385","0.007023019898556379","0.30557939914163085","0.04486929379633242","0.029535700351150995","0.05462348809988295","0.018259851736246585","0.04701521654311354","0.06523605150214591","0.008817791650409674","0.024268435427233708","0.004838080374561061","0.011002731174404994","0.3788529067499024","0.03296917674600078","0.08595396020288724","0.00023410066328521261"
"CAMK4","0.0050031269543464665","0.008911819887429643","0.0028142589118198874","0.0050031269543464665","0.005393996247654784","0.00375234521575985","0.01547842401500938","0.05143839899937461","0.059021263289555974","0.15408067542213885","1.0","0.8478736710444027","0.08943089430894309","0.12132582864290181","0.04596622889305816","0.03908692933083177","0.21708880550343965","0.10600375234521577","0.01172607879924953","0.016885553470919325","0.00484677923702314","0.011882426516572857","0.31762038774233897","0.015165728580362726","0.01305503439649781","0.012976860537836147","0.013758599124452783","0.007035647279549718","0.007191994996873046","0.007035647279549718","0.010475297060662915","0.0015634771732332708","0.0006253908692933083","0.0034396497811131957","0.006957473420888054","0.005159474671669793","0.021575984990619135","0.00398686679174484","0.0006253908692933083","0.006097560975609756","0.008677298311444653","0.0010944340212632896","0.015634771732332707","0.021263289555972485","0.0040650406504065045","0.0028142589118198874","0.0358036272670419","0.020794246404002504","0.008130081300813009","0.8894621638524077","0.0068792995622263915","0.008911819887429643","0.012898686679174483","0.011882426516572857"
"PXK","0.226897500573263","0.20660398991057097","0.16320797982114194","0.18596652144003667","0.21038752579683562","0.20465489566613165","0.24661774822288468","0.24443934877321716","0.1699151570740656","0.3160398991057097","0.63574868149507","0.6355193762898418","0.29305205228158676","0.28124283421233665","0.3895895436826416","0.2966636092639303","0.22087823893602385","0.3434991974317817","1.0","0.4673240082549874","0.1780554918596652","0.3934304058702132","0.15271726668195368","0.6277229993120844","0.5243636780554919","0.26278376519146984","0.16704884200871362","0.21864251318504932","0.09928915386379271","0.21245127264388902","0.22850263700986012","0.10788809905984866","0.052052281586792024","0.11121302453565696","0.16045631735840404","0.053428112818160976","0.2517771153405182","0.11482458151800047","0.09871589085072231","0.2852556753038294","0.20700527401972024","0.048956661316211875","0.16716349461132768","0.1499656042192158","0.14119468011923872","0.15741802338913094","0.19754643430405872","0.24936941068562257","0.11385003439578079","0.18550791102958036","0.5497592295345105","0.30904609034625086","0.3308300848429259","0.16590231598257282"
"CAMKK1","0.09102815979043877","0.08431565160445319","0.14309102815979044","0.06974459724950884","0.07154551407989522","0.22134905042567124","0.21250818598559268","0.23043549443352979","0.4545677799607073","0.4408153241650295","0.9397511460379829","0.8914538310412574","1.0","0.9792075965946301","0.23772102161100198","0.14906679764243616","0.5123608382449247","0.32662082514734775","0.0388015717092338","0.0776031434184676","0.0893909626719057","0.08276031434184676","0.03061558611656844","0.22838899803536344","0.21381794368041915","0.1555337262606418","0.09954158480681075","0.09266535690897185","0.08726260641781271","0.09086444007858546","0.14751146037982973","0.043713163064833006","0.022593320235756383","0.0343811394891945","0.04846103470857891","0.005730189914865749","0.09332023575638508","0.1475933202357564","0.020301244269810087","0.06663392272429601","0.12180746561886052","0.07170923379174853","0.4400785854616896","0.13130320890635233","0.20407662082514735","0.2382121807465619","0.10690897184020957","0.14963981663392273","0.03814669286182056","0.2131630648330059","0.13916175507531106","0.27619515389652916","0.21504584151931894","0.08611656843483956"
"KSR1","0.37671854281526973","0.4777723497801661","0.3211668644008654","0.29353060227510647","0.40623909554051224","0.347965664037965","0.35187382231837533","0.1585595645195059","0.16595714983599694","0.21111033568288087","0.21885686370298","0.27887500872356763","0.22374206155349294","0.17698373927001187","0.20685323469886246","0.17523902575197153","0.17565775699630123","0.1503245167143555","0.22234629073906065","0.15702421662363042","0.35857352222765027","0.10042571009840186","1.0","0.8757066089748065","0.9882057366180476","0.3010677646730407","0.25263451741224097","0.2423058133854421","0.5423965384883802","0.22485867820503874","0.6304696768790565","0.16442180194012143","0.06930002093656222","0.27664177542047597","0.6514062390955405","0.05359759927419918","0.6916044385511899","0.17698373927001187","0.2968804522297439","0.8431851489985345","0.6303998883383348","0.7530183543862099","0.38746597808639827","0.36694814711424384","0.434643031614209","0.41524181729360043","0.3351245725451881","0.46883941656779965","0.13929792728034057","0.8466745760346152","0.9318165957149838","0.7438760555516785","0.5700328006141392","0.11026589434014936"
"LYN","0.08512045347189419","0.08710439300897498","0.056495040151157305","0.06249409541804441","0.0632498819083609","0.04222957014643363","0.06594237128011338","0.016438356164383564","0.023807274444969297","0.011761927255550308","0.11327350023618328","0.09031648559282003","0.02701936702881436","0.025224374114312706","0.01917808219178082","0.014737836561171471","0.011242324043457723","0.012281530467642892","0.03882853094000945","0.017855455833726972","0.07850732168162496","0.02848370335380255","1.0","0.038261691072272085","0.054936230514879544","0.034010392064241855","0.05602267359470949","0.03552196504487482","0.04676428908833255","0.035238545111006145","0.05526688710439301","0.023429381199811056","0.012848370335380256","0.023712801133679736","0.04865375531412377","0.03438828530940009","0.2620217288615966","0.12418516769012754","0.006329711856400568","0.04024563060935286","0.024043457723193197","0.03240434577231932","0.045063769485120454","0.04874822862541332","0.027113840340103924","0.03117619272555503","0.13934813415210204","0.5379310344827586","0.04402456306093529","0.01709966934341049","0.10552668871043931","0.03372697213037317","0.05540859707132736","0.5565422768068021"
"PAK1","0.09487179487179487","0.09158653846153846","0.08705929487179488","0.13020833333333334","0.10961538461538461","0.10745192307692308","0.20048076923076924","0.1703125","0.37231570512820517","0.11975160256410257","1.0","0.8693910256410257","0.6499198717948718","0.8910256410256411","0.11466346153846155","0.15552884615384616","0.1919070512820513","0.08822115384615385","0.08092948717948718","0.08044871794871794","0.10897435897435898","0.1638621794871795","0.6951522435897436","0.1826923076923077","0.1798878205128205","0.1528044871794872","0.251161858974359","0.19871794871794873","0.1548878205128205","0.18910256410256412","0.18229166666666666","0.056330128205128206","0.017548076923076923","0.10248397435897436","0.12528044871794872","0.04114583333333333","0.14903846153846156","0.19623397435897438","0.14815705128205128","0.11402243589743591","0.22187500000000002","0.07463942307692309","0.23197115384615385","0.17299679487179487","0.12267628205128206","0.13084935897435895","0.2230769230769231","0.20568910256410258","0.1765224358974359","0.46322115384615387","0.29599358974358975","0.22407852564102565","0.22415865384615385","0.2551282051282051"
"PAK2","0.6137252258325469","0.5465821760819738","0.3095591209383848","0.44033976001078595","0.4632600781987326","0.5064042065525145","0.47377645948496694","0.22138330861534314","0.18848591074558446","0.21841714979102062","0.3065929621140623","0.2499662936497236","0.18147498988809493","0.21410273695564244","0.22084400701092083","0.2772010246730484","0.21585546717001486","0.19576648240528516","0.44141836321963057","0.278279627881893","0.49103411082647974","0.8027504381825535","1.0","0.4689227450451665","0.44330591883510856","0.42631791829580695","0.38276931373870837","0.4098692193609276","0.3842523931508696","0.4160711878117837","0.4629904273965215","0.26506673857354723","0.1772954024538223","0.2065525144937306","0.27787515167857624","0.24201159498449512","0.5437508426587568","0.3599838209518673","0.3459619792368882","0.6414992584602939","0.3804772819199137","0.1245786706215451","0.23432654712147766","0.3473102332479439","0.31535661318592423","0.3241202642577862","0.4398004584063637","0.546851826884185","0.2345961979236888","0.2807064851017932","0.37939867871106914","0.4762033167048672","0.46177699878657136","0.2709990562221923"
"PAK3","0.05941845764854614","0.03729456384323641","0.033185840707964605","0.17699115044247787","0.07964601769911504","0.19785082174462704","0.022756005056890013","0.33501896333754744","0.5963969658659923","0.25505689001264226","0.060050568900126416","0.050568900126422255","0.4936788874841972","0.8482932996207332","0.34639696586599245","0.6434892541087232","0.4329962073324905","0.16434892541087232","0.039190897597977246","0.14601769911504425","0.10998735777496839","0.012010113780025285","0.0006321112515802782","0.05120101137800253","0.08881163084702907","0.0316055625790139","0.019595448798988623","0.05372945638432364","0.01074589127686473","0.029077117572692796","0.10998735777496839","0.005689001264222503","0.0037926675094816687","0.01390644753476612","0.009481668773704174","0.0037926675094816687","0.035398230088495575","0.07869785082174463","0.00695322376738306","0.5625790139064476","0.09165613147914033","0.5199115044247788","1.0","0.11694058154235146","0.06289506953223767","0.08280657395701643","0.02085967130214918","0.029077117572692796","0.08027812895069532","0.1611883691529709","0.4987357774968394","0.09544879898862199","0.049620733249051835","0.0006321112515802782"
